"Distance [mm]","Voltage [V]"
0.67398216,-0.917392592373202
0.67827504,-0.916906285848345
0.68256792,-0.916419979323776
0.6868608,-0.915933672799499
0.69115368,-0.915447366275518
0.69544656,-0.914961059751794
0.69973944,-0.914474753228323
0.70403232,-0.913988446705107
0.7083252,-0.913502140182145
0.71261808,-0.913015833659445
0.71691096,-0.912529527136991
0.72120384,-0.912043220614768
0.72549672,-0.911556914092776
0.7297896,-0.911070607571016
0.73408248,-0.910584301049486
0.73837536,-0.910097994528188
0.74266824,-0.909611688007119
0.74696112,-0.909125381486279
0.751254,-0.908639074965667
0.75554688,-0.908152768445287
0.75983976,-0.907666461925137
0.76413264,-0.907180155405095
0.76842552,-0.906693848885122
0.7727184,-0.906207542365218
0.77701128,-0.905721235845381
0.78130416,-0.905234929325601
0.78559704,-0.904748622805883
0.78988992,-0.904262316286224
0.7941828,-0.903776009766624
0.79847568,-0.903289703247083
0.80276856,-0.902803396727598
0.80706144,-0.902317090208159
0.81135432,-0.901830783688761
0.8156472,-0.901344477169407
0.81994008,-0.900858170650096
0.82423296,-0.900371864130827
0.82852584,-0.899885557611602
0.83281872,-0.899399251092417
0.8371116,-0.898912944573272
0.84140448,-0.898426638054168
0.84569736,-0.897940331535104
0.84999024,-0.897454025016081
0.85428312,-0.896967718497091
0.858576,-0.896481411978126
0.86286888,-0.895995105459184
0.86716176,-0.895508798940265
0.87145464,-0.895022492421369
0.87574752,-0.894536185902497
0.8800404,-0.894049879383647
0.88433328,-0.893563572864819
0.88862616,-0.893077266346009
0.89291904,-0.892590959827218
0.89721192,-0.892104653308446
0.9015048,-0.891618346789692
0.90579768,-0.891132040270952
0.91009056,-0.890645733752222
0.91438344,-0.8901594272335
0.91867632,-0.889673120714789
0.9229692,-0.889186814196087
0.92726208,-0.888700507677395
0.93155496,-0.888214201158714
0.93584784,-0.887727894640044
0.94014072,-0.887241588121384
0.9444336,-0.886755281602735
0.94872648,-0.886268975084097
0.95301936,-0.88578266856547
0.95731224,-0.885296362046847
0.96160512,-0.884810055528229
0.965898,-0.884323749009606
0.97019088,-0.883837442490978
0.97448376,-0.883351135972344
0.97877664,-0.882864829453703
0.98306952,-0.882378522935048
0.9873624,-0.881892216416381
0.99165528,-0.881405909897701
0.99594816,-0.880919603379008
1.00024104,-0.880433296860302
1.00453392,-0.879946990341584
1.0088268,-0.879460683822852
1.01311968,-0.878974377304107
1.01741256,-0.878488070785344
1.02170544,-0.878001764266563
1.02599832,-0.877515457747762
1.0302912,-0.877029151228943
1.03458408,-0.876542844710103
1.03887696,-0.876056538191241
1.04316984,-0.875570231672359
1.04746272,-0.875083925153455
1.0517556,-0.87459761863453
1.05604848,-0.874111312115585
1.06034136,-0.873625005596618
1.06463424,-0.873138699077626
