Scalar,data,"SurfaceValue(Surface(Rectangle1), VOLTAGE)",
NumElems,3579,,
-8.36E-07,-1.92E-03,0.00E+00,"		-5.1219172248200595e-01"
1.96E-07,-1.92E-03,0.00E+00,"		-5.0946307265765856e-01"
-5.64E-07,-1.92E-03,0.00E+00,"		-5.1042711310173849e-01"
-1.32E-06,-1.92E-03,0.00E+00,"		-5.1710036275813764e-01"
-1.32E-06,-1.92E-03,0.00E+00,"		-5.1710036275813764e-01"
-1.87E-06,-1.92E-03,0.00E+00,"		-5.2729660736274597e-01"
-1.78E-06,-1.92E-03,0.00E+00,"		-5.2525455184236769e-01"
-2.41E-06,-1.92E-03,0.00E+00,"		-5.4519815399112515e-01"
-2.32E-06,-1.92E-03,0.00E+00,"		-5.4173080223726400e-01"
-2.24E-06,-1.92E-03,0.00E+00,"		-5.3852436943503612e-01"
-1.05E-06,-1.91E-03,0.00E+00,"		-5.1420413300621348e-01"
-1.63E-06,-1.91E-03,0.00E+00,"		-5.2189797892134304e-01"
-1.65E-06,-1.91E-03,0.00E+00,"		-5.2239891022835372e-01"
-2.20E-06,-1.91E-03,0.00E+00,"		-5.3619663652556593e-01"
-2.23E-06,-1.91E-03,0.00E+00,"		-5.3862923435987908e-01"
-2.26E-06,-1.91E-03,0.00E+00,"		-5.4068104435761033e-01"
-1.98E-06,-1.94E-03,0.00E+00,"		-5.3114468145577520e-01"
-2.01E-06,-1.94E-03,0.00E+00,"		-5.3209329100800662e-01"
-1.38E-06,-1.94E-03,0.00E+00,"		-5.1774854177562424e-01"
-2.04E-06,-1.94E-03,0.00E+00,"		-5.3279457674067154e-01"
-1.41E-06,-1.94E-03,0.00E+00,"		-5.1812182712261801e-01"
-7.70E-07,-1.94E-03,0.00E+00,"		-5.1197293175978864e-01"
-7.70E-07,-1.94E-03,0.00E+00,"		-5.1197293175978864e-01"
-1.12E-06,-1.94E-03,0.00E+00,"		-5.1474424253812145e-01"
-1.38E-06,-1.94E-03,0.00E+00,"		-5.1774854177562424e-01"
-1.46E-06,-1.94E-03,0.00E+00,"		-5.1962474791320845e-01"
-1.72E-06,-1.94E-03,0.00E+00,"		-5.2472200792803780e-01"
-1.98E-06,-1.94E-03,0.00E+00,"		-5.3114468145577520e-01"
1.79E-08,-1.97E-03,0.00E+00,"		-5.0798153224136333e-01"
4.49E-08,-1.97E-03,0.00E+00,"		-5.0717398580975492e-01"
-6.30E-07,-1.97E-03,0.00E+00,"		-5.0901529220962982e-01"
7.20E-08,-1.97E-03,0.00E+00,"		-5.0613310837497916e-01"
-6.03E-07,-1.97E-03,0.00E+00,"		-5.0757502958060108e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-1.16E-06,-1.97E-03,0.00E+00,"		-5.0809016890620184e-01"
-5.46E-07,-1.97E-03,0.00E+00,"		-5.0621522323675860e-01"
-5.49E-07,-1.97E-03,0.00E+00,"		-5.0444454761904245e-01"
7.20E-08,-1.97E-03,0.00E+00,"		-5.0613310837497916e-01"
6.88E-08,-1.97E-03,0.00E+00,"		-5.0462073474075142e-01"
6.57E-08,-1.97E-03,0.00E+00,"		-5.0325895588507374e-01"
-1.16E-06,-1.97E-03,0.00E+00,"		-5.0809016890620184e-01"
-5.49E-07,-1.97E-03,0.00E+00,"		-5.0444454761904245e-01"
-1.62E-06,-1.97E-03,0.00E+00,"		-5.0905247046703905e-01"
6.57E-08,-1.97E-03,0.00E+00,"		-5.0325895588507374e-01"
-1.00E-06,-1.97E-03,0.00E+00,"		-5.0438013749939214e-01"
-2.07E-06,-1.97E-03,0.00E+00,"		-5.0979243094894577e-01"
-2.39E-06,-1.97E-03,0.00E+00,"		-5.3788615798642636e-01"
-2.32E-06,-1.97E-03,0.00E+00,"		-5.3679913485056430e-01"
-1.83E-06,-1.97E-03,0.00E+00,"		-5.2158355030201131e-01"
-2.25E-06,-1.97E-03,0.00E+00,"		-5.3538815595757006e-01"
-1.76E-06,-1.97E-03,0.00E+00,"		-5.2119075403604131e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-2.39E-06,-1.97E-03,0.00E+00,"		-5.3788615798642636e-01"
-1.83E-06,-1.97E-03,0.00E+00,"		-5.2158355030201131e-01"
-2.32E-06,-1.97E-03,0.00E+00,"		-5.3247106045747017e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-1.76E-06,-1.97E-03,0.00E+00,"		-5.1894146788156070e-01"
-2.24E-06,-1.97E-03,0.00E+00,"		-5.2724799269938305e-01"
-1.21E-06,-1.97E-03,0.00E+00,"		-5.1075950166272399e-01"
-1.19E-06,-1.97E-03,0.00E+00,"		-5.0940664277087677e-01"
-1.72E-06,-1.97E-03,0.00E+00,"		-5.1669363391062262e-01"
-1.16E-06,-1.97E-03,0.00E+00,"		-5.0809016890620184e-01"
-1.70E-06,-1.97E-03,0.00E+00,"		-5.1437267898384276e-01"
-2.24E-06,-1.97E-03,0.00E+00,"		-5.2724799269938305e-01"
-1.21E-06,-1.97E-03,0.00E+00,"		-5.1075950166272399e-01"
-1.72E-06,-1.97E-03,0.00E+00,"		-5.1669363391062262e-01"
-1.24E-06,-1.97E-03,0.00E+00,"		-5.1213725112888531e-01"
-2.24E-06,-1.97E-03,0.00E+00,"		-5.2724799269938305e-01"
-1.76E-06,-1.97E-03,0.00E+00,"		-5.1894146788156070e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-1.21E-06,-1.97E-03,0.00E+00,"		-5.1075950166272399e-01"
-1.24E-06,-1.97E-03,0.00E+00,"		-5.1213725112888531e-01"
-5.67E-07,-1.97E-03,0.00E+00,"		-5.0688172823952804e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-6.03E-07,-1.97E-03,0.00E+00,"		-5.0757502958060108e-01"
7.20E-08,-1.97E-03,0.00E+00,"		-5.0613310837497916e-01"
-1.21E-06,-1.97E-03,0.00E+00,"		-5.1075950166272399e-01"
-5.67E-07,-1.97E-03,0.00E+00,"		-5.0688172823952804e-01"
-1.19E-06,-1.97E-03,0.00E+00,"		-5.0940664277087677e-01"
7.20E-08,-1.97E-03,0.00E+00,"		-5.0613310837497916e-01"
-5.46E-07,-1.97E-03,0.00E+00,"		-5.0621522323675860e-01"
-1.16E-06,-1.97E-03,0.00E+00,"		-5.0809016890620184e-01"
1.79E-08,-1.97E-03,0.00E+00,"		-5.0798153224136333e-01"
-6.55E-07,-1.97E-03,0.00E+00,"		-5.0953916428329271e-01"
-1.14E-09,-1.97E-03,0.00E+00,"		-5.0835790830035466e-01"
-1.33E-06,-1.97E-03,0.00E+00,"		-5.1620648387722046e-01"
-6.74E-07,-1.97E-03,0.00E+00,"		-5.1027676332776806e-01"
-2.01E-08,-1.97E-03,0.00E+00,"		-5.0850132366296963e-01"
-1.28E-06,-1.97E-03,0.00E+00,"		-5.1334807391252602e-01"
-1.76E-06,-1.97E-03,0.00E+00,"		-5.2119075403604131e-01"
