"Distance [mm]","Voltage [V]"
1.40377176,-0.664056104790085
1.40806464,-0.664550491397544
1.41235752,-0.665044878004752
1.4166504,-0.665539264611706
1.42094328,-0.666033651218407
1.42523616,-0.666528037824854
1.42952904,-0.667022424431049
1.43382192,-0.66751681103699
1.4381148,-0.668011197642679
1.44240768,-0.668505584248114
1.44670056,-0.668999970853296
1.45099344,-0.669494357458225
1.45528632,-0.669988744062901
1.4595792,-0.670483130667323
1.46387208,-0.670977517271493
1.46816496,-0.671471903875409
1.47245784,-0.671966290479073
1.47675072,-0.672460677082483
1.4810436,-0.67295506368564
1.48533648,-0.673449450288547
1.48962936,-0.673943836891201
1.49392224,-0.674438223493601
1.49821512,-0.674932610095744
1.502508,-0.675426996697628
1.50680088,-0.675921383299264
1.51109376,-0.676415769900653
1.51538664,-0.676910156501793
1.51967952,-0.677404543102685
1.5239724,-0.677898929703328
1.52826528,-0.678393316303723
1.53255816,-0.678887702903871
1.53685104,-0.679382089503771
1.54114392,-0.679876476103423
1.5454368,-0.680370862702827
1.54972968,-0.680865249301983
1.55402256,-0.681359635900891
1.55831544,-0.681854022499551
1.56260832,-0.682348409097964
1.5669012,-0.682842795696129
1.57119408,-0.683337182294045
1.57548696,-0.683831568891714
1.57977984,-0.684325955489136
1.58407272,-0.684820342086309
1.5883656,-0.685314728683234
1.59265848,-0.685809115279912
1.59695136,-0.686303501876341
1.60124424,-0.686797888472523
1.60553712,-0.687292275068457
1.60983,-0.687786661664143
1.61412288,-0.688281048259581
1.61841576,-0.688775434854771
1.62270864,-0.689269821449713
1.62700152,-0.689764208044408
1.6312944,-0.690258594638856
1.63558728,-0.690752981233056
1.63988016,-0.691247367827009
1.64417304,-0.691741754420714
1.64846592,-0.692236141014172
1.6527588,-0.692730527607384
1.65705168,-0.69322491420035
1.66134456,-0.693719300793072
1.66563744,-0.694213687385549
1.66993032,-0.69470807397778
1.6742232,-0.695202460569766
1.67851608,-0.695696847161506
1.68280896,-0.696191233753002
1.68710184,-0.696685620344252
1.69139472,-0.697180006935257
1.6956876,-0.697674393526018
1.69998048,-0.698168780116535
1.70427336,-0.698663166706807
1.70856624,-0.699157553296834
1.71285912,-0.699651939886616
1.717152,-0.70014632647615
1.72144488,-0.70064071306544
1.72573776,-0.701135099654487
1.73003064,-0.70162948624329
1.73432352,-0.702123872831848
1.7386164,-0.702618259420163
1.74290928,-0.703112646008229
1.74720216,-0.703607032596047
1.75149504,-0.704101419183626
1.75578792,-0.704595805770965
1.7600808,-0.705090192358065
1.76437368,-0.705584578944925
1.76866656,-0.706078965531544
1.77295944,-0.706573352117924
1.77725232,-0.707067738704065
1.7815452,-0.707562125289965
1.78583808,-0.708056511875626
1.79013096,-0.708550898461047
1.79442384,-0.709045285046228
1.79871672,-0.70953967163117
1.8030096,-0.710034058215872
1.80730248,-0.710528444800333
1.81159536,-0.711022831384556
1.81588824,-0.711517217968538
1.82018112,-0.712011604552281
1.824474,-0.712505991135785
1.82876688,-0.713000377719051
1.83305976,-0.713494764302077
1.83735264,-0.713989150884864
1.84164552,-0.714483537467413
1.8459384,-0.714977924049721
1.85023128,-0.715472310631792
1.85452416,-0.715966697213623
1.85881704,-0.716461083795215
1.86310992,-0.716955470376569
1.8674028,-0.717449856957683
1.87169568,-0.717944243538559
1.87598856,-0.718438630119195
1.88028144,-0.718933016699593
1.88457432,-0.719427403279751
1.8888672,-0.71992178985967
1.89316008,-0.720416176439351
1.89745296,-0.720910563018792
1.90174584,-0.721404949597995
1.90603872,-0.721899336176959
1.9103316,-0.722393722755684
1.91462448,-0.722888109334169
1.91891736,-0.723382495912416
1.92321024,-0.723876882490423
1.92750312,-0.724371269068192
1.931796,-0.724865655645722
1.93608888,-0.725360042223013
1.94038176,-0.725854428800064
1.94467464,-0.726348815376878
1.94896752,-0.726843201953452
1.9532604,-0.727337588529787
1.95755328,-0.727831975105884
1.96184616,-0.728326361681741
1.96613904,-0.72882074825736
1.97043192,-0.729315134832741
1.9747248,-0.729809521407886
1.97901768,-0.730303907982795
1.98331056,-0.730798294557466
1.98760344,-0.731292681131898
1.99189632,-0.731787067706095
1.9961892,-0.732281454280053
2.00048208,-0.732775840853774
2.00477496,-0.733270227427258
2.00906784,-0.733764614000505
2.01336072,-0.734259000573514
2.0176536,-0.734753387146286
2.02194648,-0.735247773718821
2.02623936,-0.735742160291118
2.03053224,-0.736236546863177
2.03482512,-0.736730933435
2.039118,-0.737225320006585
2.04341088,-0.737719706577933
2.04770376,-0.738214093149043
