Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,334,,
4.00E-07,-1.94E-03,3.46E-08,"		9.9816620208483831e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9832200599704224e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829206421449e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834881448357971e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835459044020047e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9834677879388400e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9835778809235098e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9834506767633024e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9828017879945874e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9828017879945874e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9831677235107630e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835450120174507e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9834842612028862e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9835808368212442e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9834987982511358e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835918397892742e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835696807220087e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9835751967777808e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9834987982511358e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9836844780663503e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9837033647116136e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834881448357971e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834820674047686e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9835459044020047e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829206421449e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9835543451018338e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9835778809235098e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9816620208483831e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9825246417017699e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9832200599704224e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9831803757096971e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834272219958675e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9834829206421449e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9834842612028862e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9831677235107630e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9836010054933533e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9828017879945874e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9834506767633024e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9835778809235098e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9834987982511358e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9835808368212442e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9836844780663503e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9834842612028862e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9835698492830727e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9837033647116136e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834186379061307e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833459080884235e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9833303488931691e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9833509439523538e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834392380706394e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834287369317898e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9816620208483831e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9830866688591924e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9824864084820963e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834287369317898e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9833215699211575e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9831330848004196e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9816620208483831e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9824864084820963e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9825246417017699e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9831330848004196e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9830538309445871e-01"
3.00E-07,-1.94E-03,3.46E-08,"		9.9831803757096971e-01"
