"Distance [mm]","Voltage [mV]"
1.23220204,-854.853765368392
1.23642191,-854.349671894283
1.24064178,-853.845578420178
1.24486165,-853.341484946076
1.24908152,-852.837391471978
1.25330139,-852.333297997885
1.25752126,-851.829204523794
1.26174113,-851.325111049706
1.265961,-850.821017575621
1.27018087,-850.316924101538
1.27440074,-849.812830627458
1.27862061,-849.30873715338
1.28284048,-848.804643679305
1.28706035,-848.300550205233
1.29128022,-847.796456731163
1.29550009,-847.292363257096
1.29971996,-846.788269783031
1.30393983,-846.284176308969
1.3081597,-845.78008283491
1.31237957,-845.275989360853
1.31659944,-844.771895886797
1.32081931,-844.267802412743
1.32503918,-843.763708938691
1.32925905,-843.259615464641
1.33347892,-842.755521990593
1.33769879,-842.251428516547
1.34191866,-841.747335042503
1.34613853,-841.24324156846
1.3503584,-840.73914809442
1.35457827,-840.235054620382
1.35879814,-839.730961146345
1.36301801,-839.22686767231
1.36723788,-838.722774198278
1.37145775,-838.218680724246
1.37567762,-837.714587250216
1.37989749,-837.210493776188
1.38411736,-836.706400302161
1.38833723,-836.202306828136
1.3925571,-835.698213354113
1.39677697,-835.194119880091
1.40099684,-834.690026406071
1.40521671,-834.185932932053
1.40943658,-833.681839458036
1.41365645,-833.177745984021
1.41787632,-832.673652510008
1.42209619,-832.169559035996
1.42631606,-831.665465561987
1.43053593,-831.161372087978
1.4347558,-830.657278613971
1.43897567,-830.153185139965
1.44319554,-829.64909166596
1.44741541,-829.144998191956
1.45163528,-828.640904717953
1.45585515,-828.136811243951
1.46007502,-827.63271776995
1.46429489,-827.128624295948
1.46851476,-826.624530821943
1.47273463,-826.120437347937
1.4769545,-825.61634387393
1.48117437,-825.112250399922
1.48539424,-824.608156925913
1.48961411,-824.104063451902
1.49383398,-823.599969977892
1.49805385,-823.09587650388
1.50227372,-822.591783029867
1.50649359,-822.087689555853
1.51071346,-821.583596081838
1.51493333,-821.079502607822
1.5191532,-820.575409133806
1.52337307,-820.071315659788
1.52759294,-819.567222185769
1.53181281,-819.06312871175
1.53603268,-818.559035237729
1.54025255,-818.054941763707
1.54447242,-817.550848289685
1.54869229,-817.046754815662
1.55291216,-816.542661341637
1.55713203,-816.038567867612
1.5613519,-815.534474393585
1.56557177,-815.030380919558
1.56979164,-814.526287445529
1.57401151,-814.0221939715
1.57823138,-813.518100497469
1.58245125,-813.014007023439
1.58667112,-812.509913549407
1.59089099,-812.005820075373
1.59511086,-811.501726601334
1.59933073,-810.997633127293
1.6035506,-810.493539653248
1.60777047,-809.989446179199
1.61199034,-809.485352705148
1.61621021,-808.981259231093
1.62043008,-808.477165757035
1.62464995,-807.973072282973
1.62886982,-807.468978808908
1.63308969,-806.964885334839
1.63730956,-806.460791860767
1.64152943,-805.956698386692
1.6457493,-805.452604912614
1.64996917,-804.948511438533
1.65418904,-804.444417964448
1.65840891,-803.940324490359
1.66262878,-803.436231016268
1.66684865,-802.932137542173
1.67106852,-802.428044068075
1.67528839,-801.923950593973
1.67950826,-801.419857119868
1.68372813,-800.915763645759
1.687948,-800.411670171648
1.69216787,-799.907576697533
1.69638774,-799.403483223415
1.70060761,-798.899389749293
1.70482748,-798.395296275168
1.70904735,-797.89120280104
1.71326722,-797.387109326908
1.71748709,-796.883015852773
1.72170696,-796.378922378635
1.72592683,-795.874828904493
1.7301467,-795.370735430347
1.73436657,-794.866641956197
1.73858644,-794.362548482044
1.74280631,-793.858455007887
1.74702618,-793.354361533725
1.75124605,-792.85026805956
1.75546592,-792.346174585392
1.75968579,-791.842081111219
1.76390566,-791.337987637042
1.76812553,-790.833894162862
1.7723454,-790.329800688677
1.77656527,-789.825707214489
1.78078514,-789.321613740297
1.78500501,-788.817520266102
1.78922488,-788.313426791902
1.79344475,-787.809333317698
1.79766462,-787.305239843491
1.80188449,-786.80114636928
1.80610436,-786.297052895065
1.81032423,-785.792959420846
1.8145441,-785.288865946623
1.81876397,-784.784772472396
1.82298384,-784.280678998166
1.82720371,-783.776585523932
1.83142358,-783.272492049693
1.83564345,-782.768398575451
1.83986332,-782.264305101205
1.84408319,-781.760211626956
1.84830306,-781.256118152702
1.85252293,-780.752024678445
1.8567428,-780.247931204184
1.86096267,-779.743837729918
1.86518254,-779.239744255649
1.86940241,-778.735650781377
1.87362228,-778.2315573071
1.87784215,-777.727463832817
1.88206202,-777.223370358533
1.88628189,-776.719276884246
1.89050176,-776.215183409959
1.89472163,-775.71108993567
1.8989415,-775.20699646138
1.90316137,-774.702902987088
1.90738124,-774.198809512795
1.91160111,-773.694716038501
1.91582098,-773.190622564205
