Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.50E-07,-1.96E-03,3.46E-08,"		9.9990316016300729e-01"
4.00E-07,-1.96E-03,3.47E-08,"		1.0000381161630765e+00"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993190756188288e-01"
3.00E-07,-1.96E-03,3.46E-08,"		9.9996030665887770e-01"
3.00E-07,-1.96E-03,3.46E-08,"		9.9996030665887770e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993190756188288e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9993411809349075e-01"
4.00E-07,-1.96E-03,3.47E-08,"		1.0000381161630765e+00"
3.50E-07,-1.96E-03,3.47E-08,"		1.0000139489775197e+00"
3.00E-07,-1.96E-03,3.47E-08,"		9.9999750621024819e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9993232391183207e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9994554741253050e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993081587181432e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9989834426216118e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9990456802123751e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9991151478537232e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9993232391183207e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993081587181432e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993818754277319e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9991151478537232e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9992209634698381e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9999750621024819e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9993232391183207e-01"
3.50E-07,-1.96E-03,3.47E-08,"		9.9993818754277319e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9995503373857053e-01"
3.00E-07,-1.96E-03,3.47E-08,"		9.9999750621024819e-01"
3.50E-07,-1.96E-03,3.47E-08,"		1.0000139489775197e+00"
4.00E-07,-1.96E-03,3.47E-08,"		1.0000381161630765e+00"
4.00E-07,-1.96E-03,3.47E-08,"		9.9989834426216118e-01"
4.00E-07,-1.97E-03,3.47E-08,"		1.0000079400686843e+00"
3.50E-07,-1.96E-03,3.47E-08,"		9.9990456802123751e-01"
4.00E-07,-1.97E-03,3.47E-08,"		1.0000097658244584e+00"
3.50E-07,-1.97E-03,3.47E-08,"		1.0000245723604133e+00"
3.00E-07,-1.96E-03,3.47E-08,"		9.9991151478537232e-01"
4.00E-07,-1.97E-03,3.47E-08,"		1.0000097658244584e+00"
3.50E-07,-1.97E-03,3.47E-08,"		9.9999662568416847e-01"
3.50E-07,-1.97E-03,3.47E-08,"		1.0000245723604133e+00"
3.00E-07,-1.97E-03,3.47E-08,"		9.9999750539702192e-01"
3.00E-07,-1.97E-03,3.47E-08,"		1.0000227841533338e+00"
3.00E-07,-1.96E-03,3.47E-08,"		9.9991151478537232e-01"
4.00E-07,-1.97E-03,3.48E-08,"		9.9997417323434290e-01"
